grb,ra,dec,coorderr,z
080906A,15h11m34s,-80° 29',3',2.1
080913A,04h22m54s,-25° 07',3',6.73
080916A,22h25m12s,-57° 01',3',0.689
080916C,07h59m31s,-56° 35',10',4.35
080928A,06h20m20s,-55° 10',3,1.69
081007A,22h39m54s,-40° 08',3,0.53
081008A,18h39m57s,-57° 28',3,1.97
081028A,08h07m34s,+02° 19',3,3.038
081029A,23h06m49s,-68° 10',3,3.85
081109A,22h03m09s,-54° 43',3,0.98
081118A,05h30m22s,-43° 18',3,2.58
081121A,05h57m03s,-60° 38',3,2.512
081203A,15h32m08s,+63° 30',3,2.1
081210A,04h41m50s,-11° 16',3,2.0631
081221A,01h03m13s,-24° 32',3,2.26
081222A,01h31m00s,-34° 08',3,2.77
081228A,02h37m52s,+30° 51',3,3.44
081230A,02h29m16s,-25° 08',3,2
090102A,08h33m02s,+33° 05',3,1.55
090113A,02h08m18s,+33° 27',3,1.7493
090201A,06h08m07s,-46° 35',3,2.1
090205A,14h43m42s,-27° 52',3,4.6497
090313A,13h13m35s,+08° 06',3,3.38
090323A,12h42m46s,+17° 05',8,3.57
090328A,06h03m29s,-41° 57',9,0.736
090407A,04h35m50s,-12° 40',3,1.4485
090418A,17h57m20s,+33° 25',3,1.608
090423A,09h55m35s,+18° 07',3,8.23
090424A,12h38m09s,+16° 50',3,0.544
090426A,12h36m18s,-32° 59,3,2.61
090429B,14h02m49s,+32° 10',3,9.2
090510A,22h14m13s,-26° 34,3,1.6187
090516A,09h13m05s,-11° 51',3,4.109
090519A,09h29m10s,+00° 11',3,3.85
090529A,14h09m54s,+24° 26',3,2.63
090530A,11h57m35s,+26° 35',3,1.266
090618A,19h36m05s,+78° 21',3,0.54
090709A,19h19m44s,+60° 44',3,1.8
090715B,16h45m23s,+44° 50',3,3
090726A,16h35m16s,+72° 52',3,2.71
090809A,21h54m35s,-00° 05',3,2.737
090812A,23h32m47s,-10° 36',3,2.452
090814A,15h58m27s,+25° 36',3,0.696
090902B,17h40m00s,+27° 20',6,1.822
