time_sec	mag	mag_err	band	system	telescope	extcorr	source
39964.08000015188	18.20858018847394	0.15	H	AB	LCO/Magellan2Clay(6.5m)/LDSS-3	y	Rossi2020
126364.08000015188	17.46858018847394	0.01	H	AB	LCO/Magellan2Clay(6.5m)/LDSS-3	y	Rossi2020
211139.76000032388	17.51858018847394	0.01	H	AB	LCO/Magellan2Clay(6.5m)/LDSS-3	y	Rossi2020
1074154.8000000603	20.24858018847394	0.0	H	AB	LCO/Magellan2Clay(6.5m)/LDSS-3	y	Rossi2020
1160727.6000000956	20.44858018847394	0.0	H	AB	LCO/Magellan2Clay(6.5m)/LDSS-3	y	Rossi2020
1334192.8800002623	20.44858018847394	0.0	H	AB	LCO/Magellan2Clay(6.5m)/LDSS-3	y	Rossi2020
844071.6000000201	19.837113240208627	0.04	F160W	AB	Hubble/HST/WFC3	y	Rossi2020
425496.20000021625	18.0092386366632	0.03	H	AB	Hubble/HST/WFC3	y	Rossi2020
814641.8000002867	19.5492386366632	0.06	H	AB	Hubble/HST/WFC3	y	Rossi2020
917630.5999998944	20.2292386366632	0.09	H	AB	Hubble/HST/WFC3	y	Rossi2020
39289.20000011567	17.296264734797475	0.018	i	AB	LCO/Swope(1m)/CISCO	y	Rossi2020
131132.40000028163	17.622264734797476	0.02	i	AB	LCO/Swope(1m)/CISCO	y	Rossi2020
300822.0000002766	18.742264734797477	0.047	i	AB	LCO/Swope(1m)/CISCO	y	Rossi2020
385493.99999992456	19.206264734797475	0.045	i	AB	LCO/Swope(1m)/CISCO	y	Rossi2020
473167.1999998391	20.090264734797476	0.116	i	AB	LCO/Swope(1m)/CISCO	y	Rossi2020
644930.4000002565	21.240264734797478	0.183	i	AB	LCO/Swope(1m)/CISCO	y	Rossi2020
125465.52000022028	17.588315414702652	0.03	i	AB	LCO/Magellan2Clay(6.5m)/LDSS-3	y	Rossi2020
213610.8000001358	18.178315414702652	0.02	i	AB	LCO/Magellan2Clay(6.5m)/LDSS-3	y	Rossi2020
579462.9600002384	20.646739047556636	0.09	I	AB	KO/Keck-2(10m)/DEIMOS	y	Rossi2020
103078.80000023636	17.421528470613715	0.1	I	AB	SAAO/SALT(10m)/SALTICAM	y	Rossi2020
126406.79999995977	17.611528470613717	0.09	I	AB	CTIO/LCOGT(1m)/Sinistro	y	Rossi2020
159238.8000003621	17.812906630446435	0.09	I	AB	SSO/iTelescope(T17)/CCD	y	Rossi2020
189568.8000002364	18.10152847061372	0.12	I	AB	SAAO/SALT(10m)/SALTICAM	y	Rossi2020
212032.8000004124	18.241528470613716	0.13	I	AB	CTIO/LCOGT(1m)/Sinistro	y	Rossi2020
244984.80000018608	18.452906630446435	0.1	I	AB	SSO/iTelescope(T17)/CCD	y	Rossi2020
276088.8000002364	18.571528470613718	0.11	I	AB	SAAO/SALT(10m)/SALTICAM	y	Rossi2020
298552.8000004124	18.711528470613718	0.11	I	AB	CTIO/LCOGT(1m)/Sinistro	y	Rossi2020
331324.8000001861	18.832906630446434	0.1	I	AB	SSO/iTelescope(T17)/CCD	y	Rossi2020
362428.8000002364	19.071528470613718	0.1	I	AB	SAAO/SALT(10m)/SALTICAM	y	Rossi2020
384028.8000002364	19.061528470613716	0.1	I	AB	CTIO/LCOGT(1m)/Sinistro	y	Rossi2020
417784.8000001861	19.352906630446434	0.13	I	AB	SSO/iTelescope(T17)/CCD	y	Rossi2020
448828.8000002364	19.521528470613717	0.1	I	AB	SAAO/SALT(10m)/SALTICAM	y	Rossi2020
505048.8000003621	19.822906630446433	0.14	I	AB	SSO/iTelescope(T17)/CCD	y	Rossi2020
536212.8000004124	20.151528470613716	0.11	I	AB	SAAO/SALT(10m)/SALTICAM	y	Rossi2020
590584.8000001861	20.222906630446435	0.12	I	AB	SSO/iTelescope(T17)/CCD	y	Rossi2020
621688.8000002364	20.731528470613718	0.13	I	AB	SAAO/SALT(10m)/SALTICAM	y	Rossi2020
303380.3999998793	18.750264734797476	0.01	i	AB	CP/Gemini-South(8.1m)/GMOS	y	Rossi2020
647973.6000002967	20.730264734797476	0.03	i	AB	CP/Gemini-South(8.1m)/GMOS	y	Rossi2020
1079623.2000004174	22.630264734797475	0.0	i	AB	CP/Gemini-South(8.1m)/GMOS	y	Rossi2020
1166023.2000004174	21.870264734797477	0.0	i	AB	CP/Gemini-South(8.1m)/GMOS	y	Rossi2020
1252183.2000004174	21.660264734797476	0.0	i	AB	CP/Gemini-South(8.1m)/GMOS	y	Rossi2020
1338072.0000002766	21.640264734797476	0.0	i	AB	CP/Gemini-South(8.1m)/GMOS	y	Rossi2020
1597122.0000002766	22.790264734797475	0.0	i	AB	CP/Gemini-South(8.1m)/GMOS	y	Rossi2020
40810.80000013579	17.75155536961007	0.15	J	AB	LCO/Magellan2Clay(6.5m)/LDSS-3	y	Rossi2020
125595.12000008952	17.39155536961007	0.01	J	AB	LCO/Magellan2Clay(6.5m)/LDSS-3	y	Rossi2020
210370.80000026152	17.471555369610073	0.01	J	AB	LCO/Magellan2Clay(6.5m)/LDSS-3	y	Rossi2020
297660.7200004114	17.771555369610073	0.01	J	AB	LCO/Magellan2Clay(6.5m)/LDSS-3	y	Rossi2020
386289.8400000483	18.021555369610073	0.02	J	AB	LCO/duPont(2.5m)/WFIRC	y	Rossi2020
644772.7199999336	18.91155536961007	0.04	J	AB	LCO/duPont(2.5m)/WFIRC	y	Rossi2020
732010.8000001358	19.221555369610073	0.1	J	AB	LCO/duPont(2.5m)/WFIRC	y	Rossi2020
1074154.8000000603	20.57155536961007	0.0	J	AB	LCO/Magellan2Clay(6.5m)/LDSS-3	y	Rossi2020
1164269.9999998745	21.081555369610072	0.0	J	AB	LCO/Magellan2Clay(6.5m)/LDSS-3	y	Rossi2020
842689.2000003671	20.471570122307064	0.04	F110W	AB	Hubble/HST/WFC3	y	Rossi2020
41532.0000002766	17.800917044433355	0.03	J	AB	PAO/ESO-VISTA(4.1m)/VIRCAM	y	Rossi2020
44124.00000017602	17.740917044433356	0.03	J	AB	PAO/ESO-VISTA(4.1m)/VIRCAM	y	Rossi2020
127240.8000001358	17.370917044433355	0.01	J	AB	PAO/ESO-VISTA(4.1m)/VIRCAM	y	Rossi2020
213640.8000001358	17.580917044433356	0.02	J	AB	PAO/ESO-VISTA(4.1m)/VIRCAM	y	Rossi2020
300040.8000001358	17.780917044433355	0.02	J	AB	PAO/ESO-VISTA(4.1m)/VIRCAM	y	Rossi2020
386440.8000001358	18.000917044433354	0.03	J	AB	PAO/ESO-VISTA(4.1m)/VIRCAM	y	Rossi2020
412449.8000003872	18.161570122307065	0.01	F110W	AB	Hubble/HST/WFC3	y	Rossi2020
559240.8000001358	18.660917044433354	0.04	J	AB	PAO/ESO-VISTA(4.1m)/VIRCAM	y	Rossi2020
628449.8000003872	18.961570122307062	0.01	F110W	AB	Hubble/HST/WFC3	y	Rossi2020
645640.8000001358	18.990917044433356	0.08	J	AB	PAO/ESO-VISTA(4.1m)/VIRCAM	y	Rossi2020
732040.8000001358	19.610917044433357	0.09	J	AB	PAO/ESO-VISTA(4.1m)/VIRCAM	y	Rossi2020
818440.8000001358	19.980917044433355	0.14	J	AB	PAO/ESO-VISTA(4.1m)/VIRCAM	y	Rossi2020
904840.8000001358	20.860917044433357	0.35	J	AB	PAO/ESO-VISTA(4.1m)/VIRCAM	y	Rossi2020
913569.80000001	20.731570122307062	0.02	F110W	AB	Hubble/HST/WFC3	y	Rossi2020
991240.8000001358	21.080917044433356	0.4	J	AB	PAO/ESO-VISTA(4.1m)/VIRCAM	y	Rossi2020
43402.8000000352	18.375738152514696	0.15	Ks	AB	LCO/Magellan2Clay(6.5m)/LDSS-3	y	Rossi2020
125569.20000011568	17.575738152514695	0.04	Ks	AB	LCO/Magellan2Clay(6.5m)/LDSS-3	y	Rossi2020
210327.60000009555	17.515738152514697	0.06	Ks	AB	LCO/Magellan2Clay(6.5m)/LDSS-3	y	Rossi2020
1074327.6000000956	19.325738152514695	0.09	Ks	AB	LCO/Magellan2Clay(6.5m)/LDSS-3	y	Rossi2020
1076314.800000186	19.285738152514696	0.09	Ks	AB	LSO/NTT(3.58m)/EFOSC2+LSO/NTT(3.58m)/SOFI	y	Rossi2020
1162110.0000003772	19.485738152514696	0.09	Ks	AB	LCO/Magellan2Clay(6.5m)/LDSS-3	y	Rossi2020
1163146.7999999598	19.395738152514696	0.09	Ks	AB	LSO/NTT(3.58m)/EFOSC2+LSO/NTT(3.58m)/SOFI	y	Rossi2020
1334192.8800002623	20.195738152514696	0.1	Ks	AB	LCO/Magellan2Clay(6.5m)/LDSS-3	y	Rossi2020
1592554.8000000603	20.775738152514695	0.13	Ks	AB	LCO/Magellan2Clay(6.5m)/LDSS-3	y	Rossi2020
1595146.7999999598	20.895738152514696	0.17	Ks	AB	LCO/Magellan2Clay(6.5m)/LDSS-3	y	Rossi2020
40668.00000010058	18.586286117625477	0.0	Ks	AB	PAO/ESO-VISTA(4.1m)/VIRCAM	y	Rossi2020
43260.0	18.606286117625476	0.0	Ks	AB	PAO/ESO-VISTA(4.1m)/VIRCAM	y	Rossi2020
114227.99999997484	17.825738152514695	0.0	Ks	AB	None/T/TCam	y	Rossi2020
126203.99999992456	17.736286117625475	0.0	Ks	AB	PAO/ESO-VISTA(4.1m)/VIRCAM	y	Rossi2020
211740.0000003772	17.636286117625477	0.0	Ks	AB	PAO/ESO-VISTA(4.1m)/VIRCAM	y	Rossi2020
298140.0000003772	17.506286117625475	0.0	Ks	AB	PAO/ESO-VISTA(4.1m)/VIRCAM	y	Rossi2020
384540.0000003772	17.566286117625477	0.0	Ks	AB	PAO/ESO-VISTA(4.1m)/VIRCAM	y	Rossi2020
558203.9999999246	17.806286117625476	0.0	Ks	AB	PAO/ESO-VISTA(4.1m)/VIRCAM	y	Rossi2020
643740.0000003772	17.916286117625475	0.0	Ks	AB	PAO/ESO-VISTA(4.1m)/VIRCAM	y	Rossi2020
730140.0000003772	18.216286117625476	0.0	Ks	AB	PAO/ESO-VISTA(4.1m)/VIRCAM	y	Rossi2020
816540.0000003772	18.456286117625474	0.0	Ks	AB	PAO/ESO-VISTA(4.1m)/VIRCAM	y	Rossi2020
