grb,ra,dec,coorderr,z,beta,beta_err,path_AB,path_raw
050820A,22h29m36s,+19° 35',4',2.61,0.72,0.03,mag-AB-extcorr-03-05-2023/050820A_magAB_extcorr.txt,mag-03-05-2023/050820A_mag.txt
050824A,00h48m56s,+22° 36,1.6'',0.83,0.4,0.04,mag-AB-extcorr-03-05-2023/050824A_magAB_extcorr.txt,mag-03-05-2023/050824A_mag.txt
050826A,05h50m55s,-02° 41',4',0.297,,,mag-AB-extcorr-03-05-2023/050826A_magAB_extcorr.txt,mag-03-05-2023/050826A_mag.txt
050904A,00h54m41s,+14° 08',4',6.295,1.31,1.2,mag-AB-extcorr-03-05-2023/050904A_magAB_extcorr.txt,mag-03-05-2023/050904A_mag.txt
050908A,01h21m51s,-12° 58',4',3.34,1.8,0.09,mag-AB-extcorr-03-05-2023/050908A_magAB_extcorr.txt,mag-03-05-2023/050908A_mag.txt
050915A,05h26m51s,-28° 02',4',2.5273,,,mag-AB-extcorr-03-05-2023/050915A_magAB_extcorr.txt,mag-03-05-2023/050915A_mag.txt
050922B,00h23m12s,-05° 36',4',4.5,,,mag-AB-extcorr-03-05-2023/050922B_magAB_extcorr.txt,mag-03-05-2023/050922B_mag.txt
050922C,21h09m34s,-08° 46',4',2.2,0.51,0.05,mag-AB-extcorr-03-05-2023/050922C_magAB_extcorr.txt,mag-03-05-2023/050922C_mag.txt
051006A,07h23m19s,+09° 32',4',1.059,,,mag-AB-extcorr-03-05-2023/051006A_magAB_extcorr.txt,mag-03-05-2023/051006A_mag.txt
051016B,08h48m16s,+13° 39',4',0.9364,,,mag-AB-extcorr-03-05-2023/051016B_magAB_extcorr.txt,mag-03-05-2023/051016B_mag.txt
051022A,23h56m00s,+19° 36',2.5',0.809,,,mag-AB-extcorr-03-05-2023/051022A_magAB_extcorr.txt,mag-03-05-2023/051022A_mag.txt
051028A,01h48m39s,47°49',19.5',3.5,,,mag-AB-extcorr-03-05-2023/051028A_magAB_extcorr.txt,mag-03-05-2023/051028A_mag.txt
051109A,22h01m11s,+40° 50',4',2.346,0.61,0.06,mag-AB-extcorr-03-05-2023/051109A_magAB_extcorr.txt,mag-03-05-2023/051109A_mag.txt
051111A,23h12m38s,+18° 20',4',1.55,0.76,0.07,mag-AB-extcorr-03-05-2023/051111A_magAB_extcorr.txt,mag-03-05-2023/051111A_mag.txt
051221A,21h54m51s,+16° 54',3',0.5465,0.64,0.05,mag-AB-extcorr-03-05-2023/051221A_magAB_extcorr.txt,mag-03-05-2023/051221A_mag.txt
060108A,09h47m58s,+31° 55',3',2,0.54,0.11,mag-AB-extcorr-03-05-2023/060108A_magAB_extcorr.txt,mag-03-05-2023/060108A_mag.txt
060111A,18h24m51s, +37° 36',3',2.32,,,mag-AB-extcorr-03-05-2023/060111A_magAB_extcorr.txt,mag-03-05-2023/060111A_mag.txt
060115A,03h36m11s,+17° 21',3',3.53,0.77,0.03,mag-AB-extcorr-03-05-2023/060115A_magAB_extcorr.txt,mag-03-05-2023/060115A_mag.txt
060116A,05h38m48s,-05° 27',3',6.6,,,mag-AB-extcorr-03-05-2023/060116A_magAB_extcorr.txt,mag-03-05-2023/060116A_mag.txt
060124A,05h08m10s,+69° 43',3',2.3,0.73,0.08,mag-AB-extcorr-03-05-2023/060124A_magAB_extcorr.txt,mag-03-05-2023/060124A_mag.txt
060204B,14h07m11s,+27° 41',3',2.3393,,,mag-AB-extcorr-03-05-2023/060204B_magAB_extcorr.txt,mag-03-05-2023/060204B_mag.txt
060206A,13h31m47s,+35° 04',3',4.05,0.73,0.05,mag-AB-extcorr-03-05-2023/060206A_magAB_extcorr.txt,mag-03-05-2023/060206A_mag.txt
060210A,03h50m55s,+27° 02',3',3.91,0.37,0.1,mag-AB-extcorr-03-05-2023/060210A_magAB_extcorr.txt,mag-03-05-2023/060210A_mag.txt
060218A,03h21m37s,+16° 52',3',0.0331,0.75,0.05,mag-AB-extcorr-03-05-2023/060218A_magAB_extcorr.txt,mag-03-05-2023/060218A_mag.txt
060223A,03h40m52s,-17° 08',3',4.41,0.9,0.23,mag-AB-extcorr-03-05-2023/060223A_magAB_extcorr.txt,mag-03-05-2023/060223A_mag.txt
060319A,11h45m29s,+59° 59',3',1.172,,,mag-AB-extcorr-03-05-2023/060319A_magAB_extcorr.txt,mag-03-05-2023/060319A_mag.txt
060418A,15h45m41s,-03° 39',3',1.49,0.78,0.09,mag-AB-extcorr-03-05-2023/060418A_magAB_extcorr.txt,mag-03-05-2023/060418A_mag.txt
060502A,16h03m26s,+66° 36',3',1.51,0.91,0.11,mag-AB-extcorr-03-05-2023/060502A_magAB_extcorr.txt,mag-03-05-2023/060502A_mag.txt
060505A,22h07m04s,-27° 49',3',0.089,0.8,0.03,mag-AB-extcorr-03-05-2023/060505A_magAB_extcorr.txt,mag-03-05-2023/060505A_mag.txt
060510B,15h56m34s,+78° 34',3',4.94,,,mag-AB-extcorr-03-05-2023/060510B_magAB_extcorr.txt,mag-03-05-2023/060510B_mag.txt
060512A,13h03m05s,+41° 13',3',0.44,0.68,0.05,mag-AB-extcorr-03-05-2023/060512A_magAB_extcorr.txt,mag-03-05-2023/060512A_mag.txt
060522A,21h31m48s,+02° 53',3',5.11,,,mag-AB-extcorr-03-05-2023/060522A_magAB_extcorr.txt,mag-03-05-2023/060522A_mag.txt
060526A,15h31m23s,+00° 15',3',3.21,0.51,0.32,mag-AB-extcorr-03-05-2023/060526A_magAB_extcorr.txt,mag-03-05-2023/060526A_mag.txt
060602A,09h58m18s,+00° 19',3',0.787,,,mag-AB-extcorr-03-05-2023/060602A_magAB_extcorr.txt,mag-03-05-2023/060602A_mag.txt
060604A,22h28m58s,-10° 54',3',2.1357,,,mag-AB-extcorr-03-05-2023/060604A_magAB_extcorr.txt,mag-03-05-2023/060604A_mag.txt
060605A,21h28m35s,-06° 04',3',3.78,1.02,0.05,mag-AB-extcorr-03-05-2023/060605A_magAB_extcorr.txt,mag-03-05-2023/060605A_mag.txt
060607A,21h58m51s,-22° 30',3',3.07,0.72,0.27,mag-AB-extcorr-03-05-2023/060607A_magAB_extcorr.txt,mag-03-05-2023/060607A_mag.txt
060614A,21h23m27s,-53° 02',3',0.125,0.47,0.04,mag-AB-extcorr-03-05-2023/060614A_magAB_extcorr.txt,mag-03-05-2023/060614A_mag.txt
060707A,23h48m19s,-17° 55',3',3.425,0.59,0.02,mag-AB-extcorr-03-05-2023/060707A_magAB_extcorr.txt,mag-03-05-2023/060707A_mag.txt
060708A,00h31m12s,-33° 44',3',1.92,0.88,0.05,mag-AB-extcorr-03-05-2023/060708A_magAB_extcorr.txt,mag-03-05-2023/060708A_mag.txt
060714A,15h11m29s,-06° 33',3',2.71,0.44,0.04,mag-AB-extcorr-03-05-2023/060714A_magAB_extcorr.txt,mag-03-05-2023/060714A_mag.txt
060719A,01h13m49s,-48° 22',3',1.532,,,mag-AB-extcorr-03-05-2023/060719A_magAB_extcorr.txt,mag-03-05-2023/060719A_mag.txt
060729A,06h21m21s,-62° 21',3',0.54,0.78,0.03,mag-AB-extcorr-03-05-2023/060729A_magAB_extcorr.txt,mag-03-05-2023/060729A_mag.txt
060805A,14h43m41s,+12° 36',3',2.3633,,,mag-AB-extcorr-03-05-2023/060805A_magAB_extcorr.txt,mag-03-05-2023/060805A_mag.txt
060814A,14h45m23s,+20° 35',3',1.9229,,,mag-AB-extcorr-03-05-2023/060814A_magAB_extcorr.txt,mag-03-05-2023/060814A_mag.txt
060904A,15h50m58s,+44° 58',3',2.55,,,mag-AB-extcorr-03-05-2023/060904A_magAB_extcorr.txt,mag-03-05-2023/060904A_mag.txt
060904B,03h52m51s,-00° 43',3',0.7,1.11,0.1,mag-AB-extcorr-03-05-2023/060904B_magAB_extcorr.txt,mag-03-05-2023/060904B_mag.txt
060906A,02h43m00s,+30° 21',3',3.686,0.56,0.02,mag-AB-extcorr-03-05-2023/060906A_magAB_extcorr.txt,mag-03-05-2023/060906A_mag.txt
060908A,02h07m20s,+00° 22',3',1.8836,0.3,0.06,mag-AB-extcorr-03-05-2023/060908A_magAB_extcorr.txt,mag-03-05-2023/060908A_mag.txt
060912A,00h21m09s,+20° 58',3',0.937,0.7,0.1,mag-AB-extcorr-03-05-2023/060912A_magAB_extcorr.txt,mag-03-05-2023/060912A_mag.txt
060923A,16h58m30s,+12° 23',3',2.6,,,mag-AB-extcorr-03-05-2023/060923A_magAB_extcorr.txt,mag-03-05-2023/060923A_mag.txt
060923B,15h52m48s,-30° 54',3',1.5094,,,mag-AB-extcorr-03-05-2023/060923B_magAB_extcorr.txt,mag-03-05-2023/060923B_mag.txt
060926A,17h35m49s,+13° 02',3',3.2,0.82,0.01,mag-AB-extcorr-03-05-2023/060926A_magAB_extcorr.txt,mag-03-05-2023/060926A_mag.txt
060927A,21h58m13s,+05° 21',3',5.46,0.86,0.03,mag-AB-extcorr-03-05-2023/060927A_magAB_extcorr.txt,mag-03-05-2023/060927A_mag.txt
061006A,07h24m22s,-79° 12',3',0.4377,0.62,0.2,mag-AB-extcorr-03-05-2023/061006A_magAB_extcorr.txt,mag-03-05-2023/061006A_mag.txt
061007A,03h05m16s,-50° 29',3',1.26,0.78,0.02,mag-AB-extcorr-03-05-2023/061007A_magAB_extcorr.txt,mag-03-05-2023/061007A_mag.txt
061021A,09h40m32s,-21° 56',3',4.6,0.55,0.02,mag-AB-extcorr-03-05-2023/061021A_magAB_extcorr.txt,mag-03-05-2023/061021A_mag.txt
061110A,22h25m13s,-02° 16',3',0.758,0.79,0.02,mag-AB-extcorr-03-05-2023/061110A_magAB_extcorr.txt,mag-03-05-2023/061110A_mag.txt
061110B,21h35m36s,+06° 53',3',3.44,0.73,0.03,mag-AB-extcorr-03-05-2023/061110B_magAB_extcorr.txt,mag-03-05-2023/061110B_mag.txt
061121A,09h49m00s,-13° 11',3',1.31,0.67,0.04,mag-AB-extcorr-03-05-2023/061121A_magAB_extcorr.txt,mag-03-05-2023/061121A_mag.txt
061126A,05h46m30s,+64° 11',3',1.1588,0.82,0.09,mag-AB-extcorr-03-05-2023/061126A_magAB_extcorr.txt,mag-03-05-2023/061126A_mag.txt
061201A,22h07m53s,-74° 36',3',0.111,0.5,0.06,mag-AB-extcorr-03-05-2023/061201A_magAB_extcorr.txt,mag-03-05-2023/061201A_mag.txt
061222A,23h52m58s,+46° 32',3',2.088,,,mag-AB-extcorr-03-05-2023/061222A_magAB_extcorr.txt,mag-03-05-2023/061222A_mag.txt
061222B,07h01m26s,-25° 51',3',3.355,,,mag-AB-extcorr-03-05-2023/061222B_magAB_extcorr.txt,mag-03-05-2023/061222B_mag.txt
