filter_id	lambda_eff	zp_v	mag_fromVega_toST	mag_fromVega_toAB
"AstroCamp.T18(0,32cm).QHY600M-PH-US.None.white"	3919.93	2391.57	notfound	0.8
"Xinjiang.0,35m.CCD.Johnson.U"	3630.98	1780.3	notfound	0.800527
"Xinjiang.0,35m.CCD.Johnson.B"	4357.24	3897.71	notfound	-0.107512
"Xinjiang.0,35m.CCD.Johnson.V"	5339.32	3562	notfound	0.006521
"Xinjiang.0,35m.CCD.Johnson.R"	7606.15	2935.65	notfound	0.190278
"Xinjiang.0,35m.CCD.Johnson.I"	8232.9	2347.46	notfound	0.431372
"Xinjiang.0,35m.CCD.Cousins.Rc"	6406.41	3002.3	notfound	0.117
"Xinjiang.0,35m.CCD.Cousins.Ic"	7590.5	2387.34	notfound	0.342
"Xinjiang.0,35m.CCD.SDSS.up"	3542.86	1636.26	notfound	0.9
"Xinjiang.0,35m.CCD.SDSS.u"	3579.22	1627.99	notfound	0.9
"Xinjiang.0,35m.CCD.SDSS.gp"	4747.03	3812.91	notfound	-0.125
"Xinjiang.0,35m.CCD.SDSS.g"	3794.76	1572.35	notfound	-0.125
"Xinjiang.0,35m.CCD.SDSS.rp"	6208.2	3149.8	notfound	0.119
"Xinjiang.0,35m.CCD.SDSS.r"	6290.02	3093.32	notfound	0.119
"Xinjiang.0,35m.CCD.SDSS.ip"	7629.65	2579.1	notfound	0.332
"Xinjiang.0,35m.CCD.SDSS.i"	7635.1	2646.91	notfound	0.332
"Xinjiang.0,35m.CCD.SDSS.zp"	9345.61	2129.91	notfound	0.494
"Xinjiang.0,35m.CCD.SDSS.z"	7956.03	2612.4	notfound	0.494
"Xinjiang.0,35m.CCD.None.J"	12355.3	1584.51	notfound	0.866
"Xinjiang.0,35m.CCD.None.H"	16311.9	1029.64	notfound	1.337
"Xinjiang.0,35m.CCD.None.K"	21785.2	648.74	4.802	1.815
"Xinjiang.0,35m.CCD.None.Kp"	21176	679.886	4.802	1.815
"Xinjiang.0,35m.CCD.None.Ks"	21436.5	670.881	4.802	1.815
"Xinjiang.0,35m.CCD.None.Y"	9965.42	2213.12	notfound	0.634
"Xinjiang.0,35m.CCD.None.Z"	9081.06	2329.21	1.526	0.489
"Xinjiang.0,35m.CCD.None.w"	3919.93	2391.57	notfound	0.8
"Xinjiang.0,35m.CCD.None.white"	3919.93	2391.57	notfound	0.8
Nyrola.40cm.ST8XE.Johnson.U	3630.98	1780.3	notfound	0.800527
Nyrola.40cm.ST8XE.Johnson.B	4357.24	3897.71	notfound	-0.107512
Nyrola.40cm.ST8XE.Johnson.V	5339.32	3562	notfound	0.006521
Nyrola.40cm.ST8XE.Johnson.R	7606.15	2935.65	notfound	0.190278
Nyrola.40cm.ST8XE.Johnson.I	8232.9	2347.46	notfound	0.431372
Nyrola.40cm.ST8XE.Cousins.Rc	6406.41	3002.3	notfound	0.117
Nyrola.40cm.ST8XE.Cousins.Ic	7590.5	2387.34	notfound	0.342
Nyrola.40cm.ST8XE.SDSS.up	3542.86	1636.26	notfound	0.9
Nyrola.40cm.ST8XE.SDSS.u	3579.22	1627.99	notfound	0.9
Nyrola.40cm.ST8XE.SDSS.gp	4747.03	3812.91	notfound	-0.125
Nyrola.40cm.ST8XE.SDSS.g	3794.76	1572.35	notfound	-0.125
Nyrola.40cm.ST8XE.SDSS.rp	6208.2	3149.8	notfound	0.119
Nyrola.40cm.ST8XE.SDSS.r	6290.02	3093.32	notfound	0.119
Nyrola.40cm.ST8XE.SDSS.ip	7629.65	2579.1	notfound	0.332
Nyrola.40cm.ST8XE.SDSS.i	7635.1	2646.91	notfound	0.332
Nyrola.40cm.ST8XE.SDSS.zp	9345.61	2129.91	notfound	0.494
Nyrola.40cm.ST8XE.SDSS.z	7956.03	2612.4	notfound	0.494
Nyrola.40cm.ST8XE.None.J	12355.3	1584.51	notfound	0.866
Nyrola.40cm.ST8XE.None.H	16311.9	1029.64	notfound	1.337
Nyrola.40cm.ST8XE.None.K	21785.2	648.74	4.802	1.815
Nyrola.40cm.ST8XE.None.Kp	21176	679.886	4.802	1.815
Nyrola.40cm.ST8XE.None.Ks	21436.5	670.881	4.802	1.815
Nyrola.40cm.ST8XE.None.Y	9965.42	2213.12	notfound	0.634
Nyrola.40cm.ST8XE.None.Z	9081.06	2329.21	1.526	0.489
Nyrola.40cm.ST8XE.None.w	3919.93	2391.57	notfound	0.8
Nyrola.40cm.ST8XE.None.white	3919.93	2391.57	notfound	0.8
"Gornergrat.TIRGO(1,5m).ARNICA.Johnson.U"	3630.98	1780.3	notfound	0.800527
"Gornergrat.TIRGO(1,5m).ARNICA.Johnson.B"	4357.24	3897.71	notfound	-0.107512
"Gornergrat.TIRGO(1,5m).ARNICA.Johnson.V"	5339.32	3562	notfound	0.006521
"Gornergrat.TIRGO(1,5m).ARNICA.Johnson.R"	7606.15	2935.65	notfound	0.190278
"Gornergrat.TIRGO(1,5m).ARNICA.Johnson.I"	8232.9	2347.46	notfound	0.431372
"Gornergrat.TIRGO(1,5m).ARNICA.Cousins.Rc"	6406.41	3002.3	notfound	0.117
"Gornergrat.TIRGO(1,5m).ARNICA.Cousins.Ic"	7590.5	2387.34	notfound	0.342
"Gornergrat.TIRGO(1,5m).ARNICA.SDSS.up"	3542.86	1636.26	notfound	0.9
"Gornergrat.TIRGO(1,5m).ARNICA.SDSS.u"	3579.22	1627.99	notfound	0.9
"Gornergrat.TIRGO(1,5m).ARNICA.SDSS.gp"	4747.03	3812.91	notfound	-0.125
"Gornergrat.TIRGO(1,5m).ARNICA.SDSS.g"	3794.76	1572.35	notfound	-0.125
"Gornergrat.TIRGO(1,5m).ARNICA.SDSS.rp"	6208.2	3149.8	notfound	0.119
"Gornergrat.TIRGO(1,5m).ARNICA.SDSS.r"	6290.02	3093.32	notfound	0.119
"Gornergrat.TIRGO(1,5m).ARNICA.SDSS.ip"	7629.65	2579.1	notfound	0.332
"Gornergrat.TIRGO(1,5m).ARNICA.SDSS.i"	7635.1	2646.91	notfound	0.332
"Gornergrat.TIRGO(1,5m).ARNICA.SDSS.zp"	9345.61	2129.91	notfound	0.494
"Gornergrat.TIRGO(1,5m).ARNICA.SDSS.z"	7956.03	2612.4	notfound	0.494
"Gornergrat.TIRGO(1,5m).ARNICA.None.J"	12355.3	1584.51	notfound	0.866
"Gornergrat.TIRGO(1,5m).ARNICA.None.H"	16311.9	1029.64	notfound	1.337
"Gornergrat.TIRGO(1,5m).ARNICA.None.K"	21785.2	648.74	4.802	1.815
"Gornergrat.TIRGO(1,5m).ARNICA.None.Kp"	21176	679.886	4.802	1.815
"Gornergrat.TIRGO(1,5m).ARNICA.None.Ks"	21436.5	670.881	4.802	1.815
"Gornergrat.TIRGO(1,5m).ARNICA.None.Y"	9965.42	2213.12	notfound	0.634
"Gornergrat.TIRGO(1,5m).ARNICA.None.Z"	9081.06	2329.21	1.526	0.489
"Gornergrat.TIRGO(1,5m).ARNICA.None.w"	3919.93	2391.57	notfound	0.8
"Gornergrat.TIRGO(1,5m).ARNICA.None.white"	3919.93	2391.57	notfound	0.8
"Gornergrat.TIRGO(1,5m).TIRCAM2.Johnson.U"	3630.98	1780.3	notfound	0.800527
"Gornergrat.TIRGO(1,5m).TIRCAM2.Johnson.B"	4357.24	3897.71	notfound	-0.107512
"Gornergrat.TIRGO(1,5m).TIRCAM2.Johnson.V"	5339.32	3562	notfound	0.006521
"Gornergrat.TIRGO(1,5m).TIRCAM2.Johnson.R"	7606.15	2935.65	notfound	0.190278
"Gornergrat.TIRGO(1,5m).TIRCAM2.Johnson.I"	8232.9	2347.46	notfound	0.431372
"Gornergrat.TIRGO(1,5m).TIRCAM2.Cousins.Rc"	6406.41	3002.3	notfound	0.117
"Gornergrat.TIRGO(1,5m).TIRCAM2.Cousins.Ic"	7590.5	2387.34	notfound	0.342
"Gornergrat.TIRGO(1,5m).TIRCAM2.SDSS.up"	3542.86	1636.26	notfound	0.9
"Gornergrat.TIRGO(1,5m).TIRCAM2.SDSS.u"	3579.22	1627.99	notfound	0.9
"Gornergrat.TIRGO(1,5m).TIRCAM2.SDSS.gp"	4747.03	3812.91	notfound	-0.125
"Gornergrat.TIRGO(1,5m).TIRCAM2.SDSS.g"	3794.76	1572.35	notfound	-0.125
"Gornergrat.TIRGO(1,5m).TIRCAM2.SDSS.rp"	6208.2	3149.8	notfound	0.119
"Gornergrat.TIRGO(1,5m).TIRCAM2.SDSS.r"	6290.02	3093.32	notfound	0.119
"Gornergrat.TIRGO(1,5m).TIRCAM2.SDSS.ip"	7629.65	2579.1	notfound	0.332
"Gornergrat.TIRGO(1,5m).TIRCAM2.SDSS.i"	7635.1	2646.91	notfound	0.332
"Gornergrat.TIRGO(1,5m).TIRCAM2.SDSS.zp"	9345.61	2129.91	notfound	0.494
"Gornergrat.TIRGO(1,5m).TIRCAM2.SDSS.z"	7956.03	2612.4	notfound	0.494
"Gornergrat.TIRGO(1,5m).TIRCAM2.None.J"	12355.3	1584.51	notfound	0.866
"Gornergrat.TIRGO(1,5m).TIRCAM2.None.H"	16311.9	1029.64	notfound	1.337
"Gornergrat.TIRGO(1,5m).TIRCAM2.None.K"	21785.2	648.74	4.802	1.815
"Gornergrat.TIRGO(1,5m).TIRCAM2.None.Kp"	21176	679.886	4.802	1.815
"Gornergrat.TIRGO(1,5m).TIRCAM2.None.Ks"	21436.5	670.881	4.802	1.815
"Gornergrat.TIRGO(1,5m).TIRCAM2.None.Y"	9965.42	2213.12	notfound	0.634
"Gornergrat.TIRGO(1,5m).TIRCAM2.None.Z"	9081.06	2329.21	1.526	0.489
"Gornergrat.TIRGO(1,5m).TIRCAM2.None.w"	3919.93	2391.57	notfound	0.8
"Gornergrat.TIRGO(1,5m).TIRCAM2.None.white"	3919.93	2391.57	notfound	0.8
DOAO.1m.CCD.Johnson.U	3630.98	1780.3	notfound	0.800527
DOAO.1m.CCD.Johnson.B	4357.24	3897.71	notfound	-0.107512
DOAO.1m.CCD.Johnson.V	5339.32	3562	notfound	0.006521
DOAO.1m.CCD.Johnson.R	7606.15	2935.65	notfound	0.190278
DOAO.1m.CCD.Johnson.I	8232.9	2347.46	notfound	0.431372
DOAO.1m.CCD.Cousins.Rc	6406.41	3002.3	notfound	0.117
DOAO.1m.CCD.Cousins.Ic	7590.5	2387.34	notfound	0.342
DOAO.1m.CCD.SDSS.up	3542.86	1636.26	notfound	0.9
DOAO.1m.CCD.SDSS.u	3579.22	1627.99	notfound	0.9
DOAO.1m.CCD.SDSS.gp	4747.03	3812.91	notfound	-0.125
DOAO.1m.CCD.SDSS.g	3794.76	1572.35	notfound	-0.125
DOAO.1m.CCD.SDSS.rp	6208.2	3149.8	notfound	0.119
DOAO.1m.CCD.SDSS.r	6290.02	3093.32	notfound	0.119
DOAO.1m.CCD.SDSS.ip	7629.65	2579.1	notfound	0.332
DOAO.1m.CCD.SDSS.i	7635.1	2646.91	notfound	0.332
DOAO.1m.CCD.SDSS.zp	9345.61	2129.91	notfound	0.494
DOAO.1m.CCD.SDSS.z	7956.03	2612.4	notfound	0.494
DOAO.1m.CCD.None.J	12355.3	1584.51	notfound	0.866
DOAO.1m.CCD.None.H	16311.9	1029.64	notfound	1.337
DOAO.1m.CCD.None.K	21785.2	648.74	4.802	1.815
DOAO.1m.CCD.None.Kp	21176	679.886	4.802	1.815
DOAO.1m.CCD.None.Ks	21436.5	670.881	4.802	1.815
DOAO.1m.CCD.None.Y	9965.42	2213.12	notfound	0.634
DOAO.1m.CCD.None.Z	9081.06	2329.21	1.526	0.489
DOAO.1m.CCD.None.w	3919.93	2391.57	notfound	0.8
DOAO.1m.CCD.None.white	3919.93	2391.57	notfound	0.8
Weihai.1m.PIXIS-2048B-CCD.Johnson.U	3630.98	1780.3	notfound	0.800527
Weihai.1m.PIXIS-2048B-CCD.Johnson.B	4357.24	3897.71	notfound	-0.107512
Weihai.1m.PIXIS-2048B-CCD.Johnson.V	5339.32	3562	notfound	0.006521
Weihai.1m.PIXIS-2048B-CCD.Johnson.R	7606.15	2935.65	notfound	0.190278
Weihai.1m.PIXIS-2048B-CCD.Johnson.I	8232.9	2347.46	notfound	0.431372
Weihai.1m.PIXIS-2048B-CCD.Cousins.Rc	6406.41	3002.3	notfound	0.117
Weihai.1m.PIXIS-2048B-CCD.Cousins.Ic	7590.5	2387.34	notfound	0.342
Weihai.1m.PIXIS-2048B-CCD.SDSS.up	3542.86	1636.26	notfound	0.9
Weihai.1m.PIXIS-2048B-CCD.SDSS.gp	4747.03	3812.91	notfound	-0.125
Weihai.1m.PIXIS-2048B-CCD.SDSS.rp	6208.2	3149.8	notfound	0.119
Weihai.1m.PIXIS-2048B-CCD.SDSS.ip	7629.65	2579.1	notfound	0.332
Weihai.1m.PIXIS-2048B-CCD.SDSS.zp	9345.61	2129.91	notfound	0.494
Weihai.1m.PIXIS-2048B-CCD.Stromgren.u	3494.83	1281.9	0.15028	1.135368
Weihai.1m.PIXIS-2048B-CCD.Stromgren.v	4110.08	4188.32	-0.756072	-0.132136
Weihai.1m.PIXIS-2048B-CCD.Stromgren.b	4680.63	4188.58	-0.500662	-0.152966
Weihai.1m.PIXIS-2048B-CCD.Stromgren.y	5486.87	3606.27	-0.003578	0.002927
Weihai.1m.PIXIS-2048B-CCD.None.J	12355.3	1584.51	notfound	0.866
Weihai.1m.PIXIS-2048B-CCD.None.H	16311.9	1029.64	notfound	1.337
Weihai.1m.PIXIS-2048B-CCD.None.K	21785.2	648.74	4.802	1.815
Weihai.1m.PIXIS-2048B-CCD.None.Kp	21176	679.886	4.802	1.815
Weihai.1m.PIXIS-2048B-CCD.None.Ks	21436.5	670.881	4.802	1.815
Weihai.1m.PIXIS-2048B-CCD.None.Y	9965.42	2213.12	notfound	0.634
Weihai.1m.PIXIS-2048B-CCD.None.Z	9081.06	2329.21	1.526	0.489
Weihai.1m.PIXIS-2048B-CCD.None.w	3919.93	2391.57	notfound	0.8
Weihai.1m.PIXIS-2048B-CCD.None.white	3919.93	2391.57	notfound	0.8
ORM.JKT(1m).JKTCCD.Johnson.U	3630.98	1780.3	notfound	0.800527
ORM.JKT(1m).JKTCCD.Johnson.B	4357.24	3897.71	notfound	-0.107512
ORM.JKT(1m).JKTCCD.Johnson.V	5339.32	3562	notfound	0.006521
ORM.JKT(1m).JKTCCD.Johnson.R	7606.15	2935.65	notfound	0.190278
ORM.JKT(1m).JKTCCD.Johnson.I	8232.9	2347.46	notfound	0.431372
ORM.JKT(1m).JKTCCD.Cousins.Rc	6406.41	3002.3	notfound	0.117
ORM.JKT(1m).JKTCCD.Cousins.Ic	7590.5	2387.34	notfound	0.342
ORM.JKT(1m).JKTCCD.SDSS.up	3542.86	1636.26	notfound	0.9
ORM.JKT(1m).JKTCCD.SDSS.u	3579.22	1627.99	notfound	0.9
ORM.JKT(1m).JKTCCD.SDSS.gp	4747.03	3812.91	notfound	-0.125
ORM.JKT(1m).JKTCCD.SDSS.g	3794.76	1572.35	notfound	-0.125
ORM.JKT(1m).JKTCCD.SDSS.rp	6208.2	3149.8	notfound	0.119
ORM.JKT(1m).JKTCCD.SDSS.r	6290.02	3093.32	notfound	0.119
ORM.JKT(1m).JKTCCD.SDSS.ip	7629.65	2579.1	notfound	0.332
ORM.JKT(1m).JKTCCD.SDSS.i	7635.1	2646.91	notfound	0.332
ORM.JKT(1m).JKTCCD.SDSS.zp	9345.61	2129.91	notfound	0.494
ORM.JKT(1m).JKTCCD.SDSS.z	7956.03	2612.4	notfound	0.494
ORM.JKT(1m).JKTCCD.None.J	12355.3	1584.51	notfound	0.866
ORM.JKT(1m).JKTCCD.None.H	16311.9	1029.64	notfound	1.337
ORM.JKT(1m).JKTCCD.None.K	21785.2	648.74	4.802	1.815
ORM.JKT(1m).JKTCCD.None.Kp	21176	679.886	4.802	1.815
ORM.JKT(1m).JKTCCD.None.Ks	21436.5	670.881	4.802	1.815
ORM.JKT(1m).JKTCCD.None.Y	9965.42	2213.12	notfound	0.634
ORM.JKT(1m).JKTCCD.None.Z	9081.06	2329.21	1.526	0.489
ORM.JKT(1m).JKTCCD.None.w	3919.93	2391.57	notfound	0.8
ORM.JKT(1m).JKTCCD.None.white	3919.93	2391.57	notfound	0.8
ORM.JKT(1m).WPC.Johnson.U	3630.98	1780.3	notfound	0.800527
ORM.JKT(1m).WPC.Johnson.B	4357.24	3897.71	notfound	-0.107512
ORM.JKT(1m).WPC.Johnson.V	5339.32	3562	notfound	0.006521
ORM.JKT(1m).WPC.Johnson.R	7606.15	2935.65	notfound	0.190278
ORM.JKT(1m).WPC.Johnson.I	8232.9	2347.46	notfound	0.431372
ORM.JKT(1m).WPC.Cousins.Rc	6406.41	3002.3	notfound	0.117
ORM.JKT(1m).WPC.Cousins.Ic	7590.5	2387.34	notfound	0.342
ORM.JKT(1m).WPC.SDSS.up	3542.86	1636.26	notfound	0.9
ORM.JKT(1m).WPC.SDSS.u	3579.22	1627.99	notfound	0.9
ORM.JKT(1m).WPC.SDSS.gp	4747.03	3812.91	notfound	-0.125
ORM.JKT(1m).WPC.SDSS.g	3794.76	1572.35	notfound	-0.125
ORM.JKT(1m).WPC.SDSS.rp	6208.2	3149.8	notfound	0.119
ORM.JKT(1m).WPC.SDSS.r	6290.02	3093.32	notfound	0.119
ORM.JKT(1m).WPC.SDSS.ip	7629.65	2579.1	notfound	0.332
ORM.JKT(1m).WPC.SDSS.i	7635.1	2646.91	notfound	0.332
ORM.JKT(1m).WPC.SDSS.zp	9345.61	2129.91	notfound	0.494
ORM.JKT(1m).WPC.SDSS.z	7956.03	2612.4	notfound	0.494
ORM.JKT(1m).WPC.None.J	12355.3	1584.51	notfound	0.866
ORM.JKT(1m).WPC.None.H	16311.9	1029.64	notfound	1.337
ORM.JKT(1m).WPC.None.K	21785.2	648.74	4.802	1.815
ORM.JKT(1m).WPC.None.Kp	21176	679.886	4.802	1.815
ORM.JKT(1m).WPC.None.Ks	21436.5	670.881	4.802	1.815
ORM.JKT(1m).WPC.None.Y	9965.42	2213.12	notfound	0.634
ORM.JKT(1m).WPC.None.Z	9081.06	2329.21	1.526	0.489
ORM.JKT(1m).WPC.None.w	3919.93	2391.57	notfound	0.8
ORM.JKT(1m).WPC.None.white	3919.93	2391.57	notfound	0.8
"MGIO.VATT(1,8m).GUFI.Johnson.U"	3630.98	1780.3	notfound	0.800527
"MGIO.VATT(1,8m).GUFI.Johnson.B"	4357.24	3897.71	notfound	-0.107512
"MGIO.VATT(1,8m).GUFI.Johnson.V"	5339.32	3562	notfound	0.006521
"MGIO.VATT(1,8m).GUFI.Johnson.R"	7606.15	2935.65	notfound	0.190278
"MGIO.VATT(1,8m).GUFI.Johnson.I"	8232.9	2347.46	notfound	0.431372
"MGIO.VATT(1,8m).GUFI.Cousins.Rc"	6406.41	3002.3	notfound	0.117
"MGIO.VATT(1,8m).GUFI.Cousins.Ic"	7590.5	2387.34	notfound	0.342
"MGIO.VATT(1,8m).GUFI.SDSS.up"	3542.86	1636.26	notfound	0.9
"MGIO.VATT(1,8m).GUFI.SDSS.u"	3579.22	1627.99	notfound	0.9
"MGIO.VATT(1,8m).GUFI.SDSS.gp"	4747.03	3812.91	notfound	-0.125
"MGIO.VATT(1,8m).GUFI.SDSS.g"	3794.76	1572.35	notfound	-0.125
"MGIO.VATT(1,8m).GUFI.SDSS.rp"	6208.2	3149.8	notfound	0.119
"MGIO.VATT(1,8m).GUFI.SDSS.r"	6290.02	3093.32	notfound	0.119
"MGIO.VATT(1,8m).GUFI.SDSS.ip"	7629.65	2579.1	notfound	0.332
"MGIO.VATT(1,8m).GUFI.SDSS.i"	7635.1	2646.91	notfound	0.332
"MGIO.VATT(1,8m).GUFI.SDSS.zp"	9345.61	2129.91	notfound	0.494
"MGIO.VATT(1,8m).GUFI.SDSS.z"	7956.03	2612.4	notfound	0.494
"MGIO.VATT(1,8m).GUFI.None.J"	12355.3	1584.51	notfound	0.866
"MGIO.VATT(1,8m).GUFI.None.H"	16311.9	1029.64	notfound	1.337
"MGIO.VATT(1,8m).GUFI.None.K"	21785.2	648.74	4.802	1.815
"MGIO.VATT(1,8m).GUFI.None.Kp"	21176	679.886	4.802	1.815
"MGIO.VATT(1,8m).GUFI.None.Ks"	21436.5	670.881	4.802	1.815
"MGIO.VATT(1,8m).GUFI.None.Y"	9965.42	2213.12	notfound	0.634
"MGIO.VATT(1,8m).GUFI.None.Z"	9081.06	2329.21	1.526	0.489
"MGIO.VATT(1,8m).GUFI.None.w"	3919.93	2391.57	notfound	0.8
"MGIO.VATT(1,8m).GUFI.None.white"	3919.93	2391.57	notfound	0.8
VBO.1m.UKATC.Johnson.U	3630.98	1780.3	notfound	0.800527
VBO.1m.UKATC.Johnson.B	4357.24	3897.71	notfound	-0.107512
VBO.1m.UKATC.Johnson.V	5339.32	3562	notfound	0.006521
VBO.1m.UKATC.Johnson.R	7606.15	2935.65	notfound	0.190278
VBO.1m.UKATC.Johnson.I	8232.9	2347.46	notfound	0.431372
VBO.1m.UKATC.Cousins.Rc	6406.41	3002.3	notfound	0.117
VBO.1m.UKATC.Cousins.Ic	7590.5	2387.34	notfound	0.342
VBO.1m.UKATC.SDSS.up	3542.86	1636.26	notfound	0.9
VBO.1m.UKATC.SDSS.u	3579.22	1627.99	notfound	0.9
VBO.1m.UKATC.SDSS.gp	4747.03	3812.91	notfound	-0.125
VBO.1m.UKATC.SDSS.g	3794.76	1572.35	notfound	-0.125
VBO.1m.UKATC.SDSS.rp	6208.2	3149.8	notfound	0.119
VBO.1m.UKATC.SDSS.r	6290.02	3093.32	notfound	0.119
VBO.1m.UKATC.SDSS.ip	7629.65	2579.1	notfound	0.332
VBO.1m.UKATC.SDSS.i	7635.1	2646.91	notfound	0.332
VBO.1m.UKATC.SDSS.zp	9345.61	2129.91	notfound	0.494
VBO.1m.UKATC.SDSS.z	7956.03	2612.4	notfound	0.494
VBO.1m.UKATC.None.J	12355.3	1584.51	notfound	0.866
VBO.1m.UKATC.None.H	16311.9	1029.64	notfound	1.337
VBO.1m.UKATC.None.K	21785.2	648.74	4.802	1.815
VBO.1m.UKATC.None.Kp	21176	679.886	4.802	1.815
VBO.1m.UKATC.None.Ks	21436.5	670.881	4.802	1.815
VBO.1m.UKATC.None.Y	9965.42	2213.12	notfound	0.634
VBO.1m.UKATC.None.Z	9081.06	2329.21	1.526	0.489
VBO.1m.UKATC.None.w	3919.93	2391.57	notfound	0.8
VBO.1m.UKATC.None.white	3919.93	2391.57	notfound	0.8
Mayhill.GRAS-05.SBIG-ST-10XME.Johnson.U	3630.98	1780.3	notfound	0.800527
Mayhill.GRAS-05.SBIG-ST-10XME.Johnson.B	4357.24	3897.71	notfound	-0.107512
Mayhill.GRAS-05.SBIG-ST-10XME.Johnson.V	5339.32	3562	notfound	0.006521
Mayhill.GRAS-05.SBIG-ST-10XME.Johnson.R	7606.15	2935.65	notfound	0.190278
Mayhill.GRAS-05.SBIG-ST-10XME.Johnson.I	8232.9	2347.46	notfound	0.431372
Mayhill.GRAS-05.SBIG-ST-10XME.Cousins.Rc	6406.41	3002.3	notfound	0.117
Mayhill.GRAS-05.SBIG-ST-10XME.Cousins.Ic	7590.5	2387.34	notfound	0.342
Mayhill.GRAS-05.SBIG-ST-10XME.SDSS.up	3542.86	1636.26	notfound	0.9
Mayhill.GRAS-05.SBIG-ST-10XME.SDSS.u	3579.22	1627.99	notfound	0.9
Mayhill.GRAS-05.SBIG-ST-10XME.SDSS.gp	4747.03	3812.91	notfound	-0.125
Mayhill.GRAS-05.SBIG-ST-10XME.SDSS.g	3794.76	1572.35	notfound	-0.125
Mayhill.GRAS-05.SBIG-ST-10XME.SDSS.rp	6208.2	3149.8	notfound	0.119
Mayhill.GRAS-05.SBIG-ST-10XME.SDSS.r	6290.02	3093.32	notfound	0.119
Mayhill.GRAS-05.SBIG-ST-10XME.SDSS.ip	7629.65	2579.1	notfound	0.332
Mayhill.GRAS-05.SBIG-ST-10XME.SDSS.i	7635.1	2646.91	notfound	0.332
Mayhill.GRAS-05.SBIG-ST-10XME.SDSS.zp	9345.61	2129.91	notfound	0.494
Mayhill.GRAS-05.SBIG-ST-10XME.SDSS.z	7956.03	2612.4	notfound	0.494
Mayhill.GRAS-05.SBIG-ST-10XME.None.J	12355.3	1584.51	notfound	0.866
Mayhill.GRAS-05.SBIG-ST-10XME.None.H	16311.9	1029.64	notfound	1.337
Mayhill.GRAS-05.SBIG-ST-10XME.None.K	21785.2	648.74	4.802	1.815
Mayhill.GRAS-05.SBIG-ST-10XME.None.Kp	21176	679.886	4.802	1.815
Mayhill.GRAS-05.SBIG-ST-10XME.None.Ks	21436.5	670.881	4.802	1.815
Mayhill.GRAS-05.SBIG-ST-10XME.None.Y	9965.42	2213.12	notfound	0.634
Mayhill.GRAS-05.SBIG-ST-10XME.None.Z	9081.06	2329.21	1.526	0.489
Mayhill.GRAS-05.SBIG-ST-10XME.None.w	3919.93	2391.57	notfound	0.8
Mayhill.GRAS-05.SBIG-ST-10XME.None.white	3919.93	2391.57	notfound	0.8
"LightBuckets.LB-0001(0,61m).CCD.Johnson.U"	3630.98	1780.3	notfound	0.800527
"LightBuckets.LB-0001(0,61m).CCD.Johnson.B"	4357.24	3897.71	notfound	-0.107512
"LightBuckets.LB-0001(0,61m).CCD.Johnson.V"	5339.32	3562	notfound	0.006521
"LightBuckets.LB-0001(0,61m).CCD.Johnson.R"	7606.15	2935.65	notfound	0.190278
"LightBuckets.LB-0001(0,61m).CCD.Johnson.I"	8232.9	2347.46	notfound	0.431372
"LightBuckets.LB-0001(0,61m).CCD.Cousins.Rc"	6406.41	3002.3	notfound	0.117
"LightBuckets.LB-0001(0,61m).CCD.Cousins.Ic"	7590.5	2387.34	notfound	0.342
"LightBuckets.LB-0001(0,61m).CCD.SDSS.up"	3542.86	1636.26	notfound	0.9
"LightBuckets.LB-0001(0,61m).CCD.SDSS.u"	3579.22	1627.99	notfound	0.9
"LightBuckets.LB-0001(0,61m).CCD.SDSS.gp"	4747.03	3812.91	notfound	-0.125
"LightBuckets.LB-0001(0,61m).CCD.SDSS.g"	3794.76	1572.35	notfound	-0.125
"LightBuckets.LB-0001(0,61m).CCD.SDSS.rp"	6208.2	3149.8	notfound	0.119
"LightBuckets.LB-0001(0,61m).CCD.SDSS.r"	6290.02	3093.32	notfound	0.119
"LightBuckets.LB-0001(0,61m).CCD.SDSS.ip"	7629.65	2579.1	notfound	0.332
"LightBuckets.LB-0001(0,61m).CCD.SDSS.i"	7635.1	2646.91	notfound	0.332
"LightBuckets.LB-0001(0,61m).CCD.SDSS.zp"	9345.61	2129.91	notfound	0.494
"LightBuckets.LB-0001(0,61m).CCD.SDSS.z"	7956.03	2612.4	notfound	0.494
"LightBuckets.LB-0001(0,61m).CCD.None.J"	12355.3	1584.51	notfound	0.866
"LightBuckets.LB-0001(0,61m).CCD.None.H"	16311.9	1029.64	notfound	1.337
"LightBuckets.LB-0001(0,61m).CCD.None.K"	21785.2	648.74	4.802	1.815
"LightBuckets.LB-0001(0,61m).CCD.None.Kp"	21176	679.886	4.802	1.815
"LightBuckets.LB-0001(0,61m).CCD.None.Ks"	21436.5	670.881	4.802	1.815
"LightBuckets.LB-0001(0,61m).CCD.None.Y"	9965.42	2213.12	notfound	0.634
"LightBuckets.LB-0001(0,61m).CCD.None.Z"	9081.06	2329.21	1.526	0.489
"LightBuckets.LB-0001(0,61m).CCD.None.w"	3919.93	2391.57	notfound	0.8
"LightBuckets.LB-0001(0,61m).CCD.None.white"	3919.93	2391.57	notfound	0.8
ISON-TO.K-800.CCD.Johnson.U	3630.98	1780.3	notfound	0.800527
ISON-TO.K-800.CCD.Johnson.B	4357.24	3897.71	notfound	-0.107512
ISON-TO.K-800.CCD.Johnson.V	5339.32	3562	notfound	0.006521
