filter_id	lambda_eff	zp_v	mag_fromVega_toST	mag_fromVega_toAB
"CAHA.1,23m.PlanetCam.None.JC"	12729.33	1491.97	notfound	notfound
"CAHA.1,23m.PlanetCam.None.JM"	13729.57	1359.06	notfound	notfound
"CAHA.1,23m.PlanetCam.None.M1"	6193.08	3198.15	notfound	notfound
"CAHA.1,23m.PlanetCam.None.M2"	7273.04	2694.3	notfound	notfound
"CAHA.1,23m.PlanetCam.None.M3"	8909.72	2375.05	notfound	notfound
"CAHA.1,23m.PlanetCam.None.R"	6354.99	3015.47	notfound	notfound
"CAHA.1,23m.PlanetCam.None.U"	3716.13	1952.57	notfound	notfound
"CAHA.1,23m.PlanetCam.None.V"	5386.83	3631.4	notfound	notfound
"CAHA.1,23m.PlanetCam.None.V1"	11928.59	1685.04	notfound	notfound
"CAHA.1,23m.PlanetCam.None.V2"	12186.16	1632.36	notfound	notfound
"CAHA.1,23m.PlanetCam.None.V3"	14357.63	1266.41	notfound	notfound
"CAHA.1,23m.PlanetCam.None.YC"	10901.05	1833.1	notfound	notfound
"CAHA.1,23m.PlanetCam.None.YM"	11618.9	1752.13	notfound	notfound
"CAHA.2,2m.AstraLux.None.B"	4492.89	4077.78	notfound	notfound
"CAHA.2,2m.AstraLux.None.I"	8947.47	2241.34	notfound	notfound
"CAHA.2,2m.AstraLux.None.R"	6468.78	2930.86	notfound	notfound
"CAHA.2,2m.AstraLux.None.U"	3726.09	2012.6	notfound	notfound
"CAHA.2,2m.AstraLux.None.V"	5372.22	3623.94	notfound	notfound
"CAHA.2,2m.AstraLux.Roeser.R2"	6378.56	3019.06	notfound	notfound
"CAHA.2,2m.AstraLux.SDSS.i"	7650.65	2519.65	notfound	notfound
"CAHA.2,2m.AstraLux.SDSS.z"	9572.88	2128.68	notfound	notfound
"CAHA.2,2m.BUSCA.BesselCousins.Ic"	7965.67	2404.92	notfound	notfound
"CAHA.2,2m.BUSCA.None.b"	4657.03	4232.89	notfound	notfound
"CAHA.2,2m.BUSCA.None.u"	3580.81	1405.7	notfound	notfound
