GRB,RA,DEC,Class,Redshift,Beta,Beta_Err
070419B,21h02m52s,-31° 16',L,1.9591,0.25,
070506A,23h08m52s,+10° 44',SEE,2.31,0.51,0.06
070521A,16h10m41s,+30° 14',L,2.0865,<0.45,
070529A,18h55m00s,+20° 38',L,2.4996,1.69,
070611A,00h07m57s,-29° 45',L,2.04,0.95,0.02
070612A,08h05m32s,+37° 16',L,0.671,0.6,0.19
070714B,03h51m25s,+28° 18',SEE,0.92,0.86,0.1
070721B,02h12m31s,-02° 11',L,3.626,0.88,0.02
070724A,01h51m16s,-18° 37',S ,0.457,0.72 ; 0.6,0.03 ; 0
070802A,02h27m24s,-55° 32',L,2.45,1.07,0.31
070810A,12h39m53s,+10° 44',L,2.17,1.01,0.08
071003A,20h07m25s,+10° 58',L,1.6,1.25,0.09
071010A,19h12m24s,-32° 23',L,0.99,0.61,0.12
071010B,10h02m07s,+45° 44',L,0.947,0.68,0.14
071020A,07h58m39s,+32° 52',IS,2.145,0.15,0.05
071021A,22h42m33s,+23° 40',L,2.452,<0.4,
071025A,23h40m20s,+31° 45',XRR,5,0.42,0.08
071031A,00h25m50s,-58° 03',XRF,2.69,0.64,0.08
071112C,02h36m53s,+28° 23',SN-C,0.82,0.63,0.29
071117A,22h20m38s,-63° 26',L,1.331,0.41,0.03
071122A,18h26m20s,+47° 04',L,1.14,1.3,0.6
071227A,03h52m29s,-55° 57',S,0.383,0.92,0.06
080109A,09h09m31s,33°08',XRF/SN-A,0.0064941,,
080129A,07h01m07s,-07° 50',L,4.349,0.69,0.05
080205A,06h32m53s,+62° 46',L,2.72,0.79,
080210A,16h45m05s,+13° 50',L,2.641,0.44,0.32
080310A,14h40m19s,-00° 10',L,2.43,0.42,0.12
080319A,13h45m25s,+44° 05',L,2.0265,0.77,0.02
080319B,14h31m42s,+36° 18',L,0.937,0.5,0.07
080319C,17h15m54s,+55° 25',L,1.95,0.77,0.02
080325A,18h31m35s,+36° 31',L,1.78,0.6,0.65
080330A,11h17m12s,+30° 34',XRF,1.51,0.42,0.15
080411A,02h32m04s,-71° 20',L,1.03,0.87,0.02
080413A,19h09m10s,-27° 41',XRR,2.43,0.25,0.07
080413B,21h44m32s,-19° 58',L,1.1,0.25,0.07
080430A,11h01m17s,+51° 41',L,0.767,<0.62,
080514B,21h31m17s,+00° 44',L,1.8,0.64,0.03
080516A,08h02m31s,-26° 11',IS,3.2,0.59,1.1
080520A,18h40m46s,-55° 00',L,1.545,0.78,0.02
080603A,18h37m31s,+62° 44',L,1.69,0.98,0.04
080603B,11h46m07s,+68° 05',L,2.6893,0.53,0.06
080604A,15h47m53s,+20° 33',L,1.416,0.9,
080605A,17h28m31s,+04° 00',L,1.6403,0.74,0.12
080607A,12h59m52s,+15° 54',L,3.04,1.32,0.07
080707A,02h10m32s,+33° 09',L,1.23,0.71,0.03
080710A,00h33m02s,+19° 30',L,0.85,0.8,0.09
080721A,14h57m53s,-11° 43',L,2.591,0.68,0.02
080804A,21h54m48s,-53° 12',L,2.2045,0.37,0.12
080805A,20h56m55s,-62° 26',L,1.505,0.67,0.03
080810A,23h47m07s,+00° 19',L,3.35,0.51,0.13
080825B,13h57m08s,-68° 57',L,4.3,0.67,0.11
080905A,19h10m39s,-18° 53',S,0.1218,0.51,
080905B,20h06m53s,-62° 34',L,2.374,0.8,0.07
080906A,15h11m34s,-80° 29',L,2.1,0.5,0.15
080913A,04h22m54s,-25° 07',IS,6.695,0.79,0.03
080916A,22h25m12s,-57° 01',L,0.689,0.49,0.05
080916C,07h59m31s,-56° 35',L,4.35,0.38,0.1
080928A,06h20m20s,-55° 10',L,1.69,1.08,0.02
081007A,22h39m54s,-40° 08',SN-B,0.5295,0.47,0.09
081008A,18h39m57s,-57° 28',L,1.9685,0.38,0.23
081028A,08h07m34s,+02° 19',L,3.038,0.5,
081029A,23h06m49s,-68° 10',L,3.85,1,0.01
081109A,22h03m09s,-54° 43',XRR,0.98,<0.4,
081118A,05h30m22s,-43° 18',L,2.58,,
081121A,05h57m03s,-60° 38',L,2.512,0.37,0.12
081203A,15h32m08s,+63° 30',L,2.1,0.67,0.1
081210A,04h41m50s,-11° 16',L,2.0631,,
081221A,01h03m13s,-24° 32',L,2.26,0.89,
081222A,01h31m00s,-34° 08',L,2.77,0.47,0.06
081228A,02h37m52s,+30° 51',IS,3.44,1.24,0.29
081230A,02h29m16s,-25° 08',L,2,0.4,0.2
090102A,08h33m02s,+33° 05',L,1.55,0.74,0.22
090113A,02h08m18s,+33° 27',L,1.7493,<0.3,
090201A,06h08m07s, -46° 35',L,2.1,,
090205A,14h43m42s,-27° 52',IS,4.6497,0.88,0.14
090313A,13h13m35s,+08° 06',XRR,3.38,0.74,0.4
090323A,12h42m46s,+17° 05',L,3.57,0.65,0.13
090328A,06h03m29s,-41° 57',L,0.736,1.19,0.21
090407A,04h35m50s,-12° 40',L,1.4485,<0.4,
090418A,17h57m20s,+33° 25',L,1.608,,
090423A,09h55m35s,+18° 07',IS,8.23,0.45,0.13
090424A,12h38m09s,+16° 50',L,0.544,0.55,0.03
090426A,12h36m18s,-32° 59,S,2.61,0.76,0.14
090429B,14h02m49s, +32° 10',L,9.4,0.77,0.18
090510A,22h14m13s,-26° 34,S,0.903,0.85,0.05
090516A,09h13m05s,-11° 51',L,4.109,0.97,0.02
090519A,09h29m10s,+00° 11',L,3.85,,
090529A,14h09m54s,+24° 26',XRR,2.63,0.1,0.46
090530A,11h57m35s,+26° 35',SEE,1.266,0.4,0.3
090618A,19h36m05s,+78° 21',XRR-SN-C,0.54,0.71,0.02
090709A,19h19m44s,60° 44',L,1.8,3.8,0.3
090715B,16h45m23s,+44° 50',L,3,1.84,0.02
090726A,16h35m16s,+72° 52',XRF,2.71,1.29,0.15
090809A,21h54m35s,-00° 05',L,2.737,0.84,0.06
090812A,23h32m47s,-10° 36',L,2.452,0.58,0.93
090814A,15h58m27s,+25° 36',L,0.696,0.71,0.07
090902B,17h40m00s,+27° 20',L,1.822,0.68,0.11
090926A,23h33m36s,-66° 19',L,2.1062,0.72,0.17
090926B,03h05m16s,-39° 01',L,1.24,0.4,
090927A,22h55m49s,-70° 59',IS/SEE,1.37,0.41,0.16
091003A,16h46m05s,+36° 38',L,0.8969,,
091018A,02h08m51s,-57° 32',L,0.971,0.57,0.01
091020A,11h42m52s,+50° 58',L,1.71,0.23,0.65
091024A,22h36m50s,+56° 52',UL,1.09,0.64,0.29
091029A,04h00m44s,-56° 00',L,2.75,0.49,0.12
091109A,20h37m00s,-44° 11',L,3.076,,
091127A,02h26m17s,-18° 57',SN-B,0.49,0.43,0.1
091208B,01h57m39s,+16° 53',L,1.063,0.75,0.02
100117A,00h45m02s,-01° 36',S,0.92,<0.75,
100219A,10h16m53s,-12° 34',L,4.67,0.6,0.12
100302A,13h01m23s,+74° 35',L,4.813,,
100316A,16h48m08s,+71° 50',L,3.155,,
100316B,10h54m00s,-45° 29',IS,1.18,0.58,0.09
100316D,07h10m28s,-56° 09',UL-SN-A-XRF-VL,0.06,0.94,0.05
100414A,12h14m28s,+20° 27',L,1.368,1.2,0.2
100418A,17h05m30s,+11° 28',L,0.62,0.98,0.09
100424A,13h57m49s,+01° 31',L,2.465,,
100425A,19h56m45s,-26° 26',L,1.755,,
100508A,05h05m00s,-20° 43',L,0.5201,0.4,0.12
100513A,11h18m19s,+03° 36',L,4.772,0.5,0.22
100518A,20h19m13s,-24° 32',L,4,1.9,0.46
100615A,11h48m50s,-19° 30',L,1.398,<0.5,
100621A,21h01m14s,-51° 05',L,0.54,0.8,0.1
100724A,12h58m16s,-11° 07',S,1.288,,
100728A,05h08m16s,-14° 20',L,1.567,,
100728B,02h56m13s,+00° 17',L,2.106,0.7,0.18
100814A,01h29m55s,-17° 59',SEE,1.439,0.47,0.05
100816A,23h26m58s,+26° 34',IS/SEE,0.8049,,
100901A,01h48m59s,+22° 45',L,1.41,0.7,0.15
100905A,02h06m07s,14° 56',L,7.9,0.79,0.34
100906A,01h54m50s,+55° 37',SEE,1.73,0.84,0.22
101219A,04h58m28s,-02° 32',XRR-SN-B,0.718,,
101219B,00h49m02s,-34° 32',SN-A,0.55,0.62,0.01
101225A,00h00m56s,+44° 36',UL-XRR-SN-D-VL,0.33,0.9,0.5
110106B,08h56m47s,+47° 00',L,0.618,,
110128A,12h55m30s,+28° 05',L,2.339,,
110205A,10h58m21s,+67° 31',XRR,2.21,0.55,0.075
110213A,02h52m01s,+49° 17',L,1.4607,1.12,0.24
110213B,02h46m27s,+01° 11',L,1.083,,
110422A,07h27m59s,+75° 06',L,1.77,0.8,0.07
110503A,08h51m12s,+52° 13',L,1.613,1.28,0.55
110715A,15h50m38s,-46° 14',L,0.82,0.9,0.22
110731A,18h42m05s,-28° 33',L,2.83,0.45,0.08
110801A,05h59m22s,+80° 59',L,1.858,1,0.1
110808A,03h49m03s,-44° 11',L,1.348,,
110818A,21h09m32s,-63° 58',L,3.36,0.48,0.09
110918A,02h10m18s,-27° 17',L,0.982,0.7,0.02
111005A,14h53m08s,-19° 44',SEE,0.013,1.4,0.2
111008A,04h01m49s,-32° 41',L,4.9898,0.35,0.11
111107A,08h37m56s,-66° 30',L,2.893,1.1,0.14
111117A,00h50m49s,+23° 01',S,2.211,<0.79,
111123A,10h19m24s,-20° 38',L,3.1516,0.41,0.13
111129A,20h29m46s,-52° 43',L,1.0796,,
111209A,00h57m26s,-46° 47',SN-A,0.68,0.68,0.17
111211A,10h12m22s,+11° 11',L,0.478,,
111225A,00h52m24s,+51° 35',L,0.297,,
111228A,10h00m19s,+18° 18',SEE,0.714,0.69,0.07
111229A,05h05m08s,-84° 43',L,1.3805,0.72,0.06
120119A,08h00m07s,-09° 04',L,3.1,0.89,0.01
120326A,18h15m42s,+69° 17',L,1.798,1.11,0.09
120327A,16h27m19s,-29° 25',L,2.813,0.55,0.04
120404A,15h40m03s,+12° 53',L,2.87,1.05,0.09
120422A,09h07m43s,+14° 00',SN-A,0.283,0.5,0.05
120521C,14h17m09s,+42° 07',L,6,0.16,0.3
120624B,11h23m46s, +08° 56',L,2.1974,,
120711A,06h18m49s,-71° 01',L,1.405,0.53,0.02
120712A,11h18m25s,-20° 04',L,4.1745,0.61,0.24
120714B,23h41m44s,-46° 11',SN-B,0.3984,0.7,0.4
120716A,20h52m21s,+09° 33',L,2.486,1.3,
120722A,15h21m58s,+13° 15',L,0.9586,,
120724A,16h20m46s,+03° 31',L,1.48,,
120729A,00h52m13s,+49° 56',L,0.8,1,0.1
120802A,02h59m24s , +13° 45',L,3.796,,
120805A,14h26m08s,+05° 48',L,3.1,,
120811C,13h18m50s,+62° 17',L,2.671,,
120815A,18h15m40s,-52° 08',L,2.36,0.78,0.01
120907A,04h58m58s,-09° 18',L,0.97,0.8,0.1
120909A,18h22m44s,-59° 26',L,3.93,,
120922A,15h39m01s,-20° 11',L,3.1,0.5,0.2
120923A,20h15m11s,+06° 14',L,7.8,0.91,0.16
121024A,04h41m52s, -12° 16',L,2.298,0.88,0.01
121027A,04h14m26s,-58° 48',L,1.773,,
121128A,20h02m20s,+54° 19',L,2.2,1,0.08
121201A,00h53m57s,-42° 57',L,3.385,0.52,0.12
121209A,21h47m12s,-08° 15',L,2.1,,
121211A,13h02m11s,+30° 10',L,1.023,,
121217A,10h14m54s,-62° 18',L,3.1,0.87,0.04
121229A,12h40m24s,-50° 36',L,2.707,0.8,0.2
130215A,02h53m55s,+13° 22',SN-B-XRR,0.6,0.9,0.2
130408A,08h57m36s,-32° 22',L,3.757,0.55,0.11
130418A,09h56m10s,+13° 39',L,1.218,1.01,0.09
130420A,13h04m24s,+59° 25',L,1.297,0.68,0.06
130427A,11h32m33s,+27° 41',SN-B,0.34,0.92,0.1
130427B,20h59m34s,-22° 32',L,2.78,,
130505A,09h08m14s,+17° 29',L,2.27,,
130511A,13h06m33s,+18° 42',L,1.3033,,
130514A,19h45m06s,-07° 57',L,3.6,<0.22,
130518A,23h43m14s,+47° 38',L,2.488,,
130603B,11h28m50s,+17° 03',S,0.3564,0.54,0.12
130604A,16h40m19s,68° 13',L,1.06,,
130606A,16h37m37s,+29° 47',L,5.91,1.01,0.02
130610A,14h57m40s,+28° 11',L,2.092,0.85,0.07
130612A,17h19m13s,+16° 42',L,2.006,0.9,2.29
130701A,23h48m52s,+36° 06',L,1.155,0.75,0.02
130702A,15h12m36s,+16° 35',SN-A-XRF,0.15,0.52,0.19
130831A,23h54m36s,+29° 27',SN-A,0.48,1,0.05
130907A,14h23m31s,+45° 37',L,1.238,0.33,0.05
130925A,02h44m44s, -26° 08',L,0.347,0.32,0.03
131004A,19h44m36s,-02° 58',S,0.717,<0.9,
131011A,01h27m41s,+09° 33',L,1.874,,
131030A,23h00m19s,-05° 23',L,1.295,1.08,0.23
131103A,23h15m49s,-44° 40',L,0.599,,
131105A,04h44m03s,-62° 59',L,1.686,,
131108A,10h25m53s,+09° 54',L,2.4,,
131117A,22h09m21s,-31° 43',L,4.042,0.35,0.08
131231A,00h42m20s,-01° 51',L,0.642,,
140114A,12h33m56s,+12° 35',L,3,0.27,0.05
140206A,09h41m24s,+66° 45',L,2.73,0.8,0.05
140213A,07h00m52s,-73° 08',L,1.2076,0.8,0.1
140226A,14h45m58s,+15° 00',L,1.98,0.63,0.1
140301A,04h38m11s,-34° 17',L,1.416,,
140304A,02h02m40s,+33° 29',L,5.283,0.95,0.04
140311A,13h57m12s,+00° 37',L,4.954,0.85,0.02
140318A,12h16m13s,+20° 12',L,1.02,0.82,0.47
140419A,08h28m00s, +46° 13',L,3.956,0.61,0.01
140423A,13h09m10s,+49° 49',L,3.26,0.95,0.08
140428A,12h57m22s,+28° 21',L,4.7,0.86,0.06
140430A,06h51m43s,+23° 01',L,1.6,0.97,0.08
140506A,18h27m10s,-55° 34',L,0.889,0.24,0.27
140508A,17h02m31s,+46° 45',L,1.027,,
140509A,03h06m26s,-62° 39',L,2.4,,
140512A,19h17m29s,-15° 06',L,0.725,0.86,0.01
140515A,12h24m09s,+15° 05',L,6.32,0.77,0.04
140518A,15h08m55s,+42° 24',L,4.707,0.34,0.11
140606B,21h51m00s,+33° 41',L,0.384,1.39,0.02
140614A,15h24m56s,-79° 06',L,4.233,0.6,0.05
140620A,18h47m29s,+49° 44',L,2.04,,
140623A,13h13m00s,+75° 48',L,1.92,,
140629A,16h35m56s,+41° 53',L,2.275,0.9,0.05
140703A,00h51m58s,+45° 06',L,3.14,0.85,0.07
140710A,02h44m21s,+35° 30',L,0.558,0.35,0.06
140801A,03h01m00s,-30° 53',L,1.32,0.47,
140808A,14h26m05s,+48° 36',L,3.29,,
140903A,15h52m09s,+27° 35',S,0.351,0.76,0.12
140907A,03h12m35s,+46° 36',L,1.21,1.2,0.12
141004A,05h06m56s,+12° 49',L,0.573,,
141028A,21h30m48s,-00° 17',L,2.33,1.29,0.07
141109A,09h38m02s,-00° 36',L,2.993,,
141121A,08h10m40s,+22° 14',L,1.47,0.87,0.14
141220A,13h00m12s,+32° 09',L,1.3195,0.6,0.2
141221A,13h13m05s,+08° 13',L,1.45,0.64,0.03
141225A,09h15m00s,+33° 48',L,0.915,,
150101B,12h32m10s,-10° 57',S,0.134,0.61,
150120B,02h37m11s,+08° 05',L,3.5,,
150206A,00h40m21s,-63° 11',L,2.087,,
150301B,05h56m38s,-57° 59',L,1.5169,,
150314A,08h26m38s,+63° 50',L,1.758,,
150323A,08h32m46s,+45° 26',L,0.593,1.1,0.21
150403A,20h46m01s,-62° 42',L,2.06,,
150413A,12h41m32s,+71° 49',L,3.139,0.77,0.09
150423A,14h46m24s,+12° 17',S,1.394,0.8,0.3
150424A,10h09m15s,-26° 39',SEE,0.3,0.41,"+0.11,0.07"
150514A,04h59m24s,-60° 55',L,0.807,,
150518A,15h36m50s, +16° 16',L,0.256,,
